Player Name,p(MVP),p(DPOY),p(ROY),p(SMOY)
A.J. Green,0.081,1.072,0.709,0.0
A.J. Lawson,0.273,1.422,1.405,1.0
Aaron Gordon,37.696,14.828,0.0,0.0
Aaron Holiday,0.764,2.711,0.0,1.0
Aaron Nesmith,1.912,6.478,0.0,0.0
Aaron Wiggins,1.922,4.185,0.0,15.052
Admiral Schofield,0.222,1.502,0.0,0.0
AJ Griffin,0.943,2.944,14.393,15.212
Al Horford,37.634,17.838,0.0,0.0
Alec Burks,1.198,1.911,0.0,28.224
Aleksej Pokusevski,17.921,27.317,0.0,0.0
Alex Caruso,9.091,16.02,0.0,16.297
Alex Len,0.147,1.304,0.0,1.0
Alize Johnson,0.48,2.021,0.0,0.0
Alperen Şengün,47.613,25.04,0.0,0.0
Amir Coffey,0.272,1.618,0.0,1.0
Andre Drummond,6.509,11.931,0.0,28.06
Andrew Nembhard,2.25,3.278,80.039,10.003
Andrew Wiggins,49.368,20.935,0.0,0.0
Anfernee Simons,51.827,6.011,0.0,0.0
Anthony Davis,97.532,89.696,0.0,0.0
Anthony Edwards,75.074,21.199,0.0,0.0
Anthony Gill,0.286,2.092,0.0,0.0
Anthony Lamb,1.464,3.15,0.0,18.643
Austin Reaves,5.368,4.738,0.0,49.308
Austin Rivers,0.085,1.601,0.0,0.0
Ayo Dosunmu,6.615,7.315,0.0,0.0
Bam Adebayo,73.567,31.064,0.0,0.0
Ben Simmons,34.665,21.329,0.0,0.0
Bennedict Mathurin,15.418,3.973,97.428,68.0
Bismack Biyombo,1.196,16.647,0.0,6.958
Blake Griffin,0.434,1.73,0.0,1.0
Blake Wesley,0.674,1.19,35.823,5.034
Boban Marjanović,0.063,1.531,0.0,0.0
Bobby Portis,63.641,19.236,0.0,71.0
Bojan Bogdanović,22.312,3.478,0.0,0.0
Bol Bol,67.133,51.9,0.0,0.0
Bones Hyland,4.985,2.936,0.0,48.051
Bradley Beal,39.222,9.435,0.0,0.0
Brandon Boston Jr.,0.194,1.002,0.0,0.0
Brandon Clarke,5.625,11.275,0.0,21.33
Brandon Ingram,36.601,12.319,0.0,0.0
Braxton Key,0.225,1.108,0.0,1.0
Brook Lopez,63.804,74.208,0.0,0.0
Bruce Brown,35.584,12.023,0.0,73.0
Bruno Fernando,0.586,6.489,0.0,0.0
Bryce McGowens,0.224,1.71,10.28,0.0
Bryn Forbes,0.107,1.148,0.0,0.0
Buddy Boeheim,0.016,0.999,0.291,1.0
Buddy Hield,36.798,10.174,0.0,0.0
Cade Cunningham,25.153,11.727,0.0,0.0
Caleb Houstan,0.582,2.317,10.32,0.083
Caleb Martin,19.973,11.563,0.0,0.0
Cam Reddish,0.938,4.176,0.0,12.03
Cam Thomas,0.484,2.645,0.0,3.019
Cameron Johnson,1.659,3.35,0.0,0.0
Cameron Payne,16.119,5.439,0.0,0.0
Caris LeVert,19.29,4.578,0.0,0.0
Cedi Osman,2.841,2.979,0.0,40.263
Charles Bassey,3.603,12.249,0.0,12.227
Chima Moneke,0.088,0.999,1.25,0.0
Chimezie Metu,0.639,3.252,0.0,3.133
Chris Boucher,7.603,13.007,0.0,50.0
Chris Duarte,0.398,2.939,0.0,0.0
Chris Paul,16.675,4.129,0.0,0.0
Christian Braun,0.481,2.695,7.45,0.083
Christian Koloko,1.213,9.043,17.396,0.0
Christian Wood,28.901,17.277,0.0,69.0
Chuma Okeke,1.92,6.784,0.0,0.163
CJ McCollum,53.159,12.869,0.0,0.0
Clint Capela,72.381,54.386,0.0,0.0
Coby White,0.603,2.481,0.0,8.166
Cody Martin,0.016,0.999,0.0,1.0
Cole Anthony,1.75,5.759,0.0,0.0
Cole Swider,0.027,1.422,1.051,0.0
Collin Sexton,8.022,3.612,0.0,62.0
Corey Kispert,1.323,2.354,0.0,0.0
Cory Joseph,0.723,1.572,0.0,1.054
D'Angelo Russell,55.579,14.575,0.0,0.0
Daishen Nix,0.916,3.219,0.0,0.0
Dalano Banton,0.65,4.336,0.0,2.088
Dalen Terry,0.064,1.388,1.292,1.0
Damian Jones,0.174,3.107,0.0,0.0
Damian Lillard,27.049,4.528,0.0,0.0
Damion Lee,5.991,3.179,0.0,31.507
Daniel Gafford,2.641,8.237,0.0,12.467
Danuel House Jr.,0.599,3.117,0.0,3.182
Dario Šarić,0.208,1.665,0.0,0.0
Darius Bazley,2.717,15.764,0.0,3.103
Darius Garland,50.583,4.243,0.0,0.0
David Duke Jr.,0.102,1.464,0.0,0.0
David Roddy,0.865,2.991,12.962,1.928
Davion Mitchell,0.952,2.476,0.0,8.084
Dāvis Bertāns,0.456,1.263,0.0,0.0
Davon Reed,0.295,2.06,0.0,0.0
Day'Ron Sharpe,0.887,3.83,0.0,0.0
De'Aaron Fox,72.306,13.271,0.0,0.0
De'Andre Hunter,5.673,3.836,0.0,0.0
De'Anthony Melton,19.336,19.6,0.0,0.0
Dean Wade,2.792,6.608,0.0,0.0
Deandre Ayton,62.119,24.046,0.0,0.0
DeAndre Jordan,18.936,9.964,0.0,16.269
Dejounte Murray,88.757,30.303,0.0,0.0
Delon Wright,0.371,1.311,0.0,15.819
DeMar DeRozan,50.85,10.985,0.0,0.0
Deni Avdija,11.695,13.666,0.0,0.0
Dennis Schröder,0.624,1.381,0.0,0.0
Dennis Smith Jr.,10.699,10.185,0.0,0.0
Dereon Seabron,0.016,0.999,0.291,1.0
Derrick Jones Jr.,0.379,5.057,0.0,0.0
Derrick Rose,1.148,2.774,0.0,0.084
Derrick White,20.969,10.377,0.0,0.0
Desmond Bane,30.112,5.974,0.0,0.0
Devin Booker,89.027,15.603,0.0,0.0
Devin Vassell,30.321,8.217,0.0,0.0
Devon Dotson,0.038,0.826,0.0,0.0
Devonte' Graham,2.593,2.976,0.0,6.407
Dewayne Dedmon,1.877,4.067,0.0,20.35
Dillon Brooks,9.573,4.24,0.0,0.0
Domantas Sabonis,95.356,31.152,0.0,0.0
Dominick Barlow,0.035,0.92,3.927,1.0
Donovan Mitchell,81.851,11.33,0.0,0.0
Donte DiVincenzo,1.041,2.843,0.0,0.129
Dorian Finney-Smith,4.783,10.455,0.0,0.0
Doug McDermott,1.915,2.21,0.0,51.13
Draymond Green,66.051,20.146,0.0,0.0
Drew Eubanks,4.161,10.679,0.0,25.406
Dru Smith,0.163,4.405,13.956,1.0
Duane Washington Jr.,0.143,1.323,0.0,0.0
Duncan Robinson,0.522,1.961,0.0,5.968
Dwight Powell,0.918,3.53,0.0,0.0
Dyson Daniels,2.8,5.346,73.758,11.599
Edmond Sumner,0.623,3.714,0.0,5.03
Eric Gordon,3.461,4.016,0.0,0.0
Eugene Omoruyi,0.333,1.241,0.0,0.077
Evan Fournier,0.721,2.634,0.0,0.0
Evan Mobley,74.606,48.452,0.0,0.0
Facundo Campazzo,0.147,0.886,0.0,3.0
Frank Kaminsky,0.283,1.464,0.0,0.0
Frank Ntilikina,0.054,1.156,0.0,1.0
Franz Wagner,33.863,7.1,0.0,0.0
Fred VanVleet,35.798,8.912,0.0,0.0
