Team Name,p(Playoffs)
Atlanta Hawks,91.827
Boston Celtics,99.92
Brooklyn Nets,87.176
Chicago Bulls,53.436
Charlotte Hornets,0.592
Cleveland Cavaliers,99.965
Dallas Mavericks,77.347
Denver Nuggets,91.119
Detroit Pistons,0.012
Golden State Warriors,13.451
Houston Rockets,0.021
Indiana Pacers,50.387
Los Angeles Clippers,70.863
Los Angeles Lakers,85.145
Memphis Grizzlies,72.601
Miami Heat,32.59
Milwaukee Bucks,99.743
Minnesota Timberwolves,54.031
New Orleans Pelicans,99.932
New York Knicks,49.854
Oklahoma City Thunder,49.914
Orlando Magic,0.245
Philadelphia 76ers,96.433
Phoenix Suns,99.97
Portland Trail Blazers,14.9
Sacramento Kings,88.145
San Antonio Spurs,0.001
Toronto Raptors,88.363
Utah Jazz,54.981
Washington Wizards,58.196
